역이름,역지역,lat,long,호선
대림역,수도권,37.4933027323738,126.894926522974,07호선
남구로역,수도권,37.4869892904115,126.887970257024,07호선
가산디지털단지역,수도권,37.4803887400743,126.882643680055,07호선
철산역,수도권,37.4761928323657,126.868201982739,07호선
광명사거리역,수도권,37.4792946820271,126.85485565284,07호선
천왕역,수도권,37.4868420352704,126.838581632594,07호선
온수역,수도권,37.4919566907461,126.823825338009,07호선
까치울역,수도권,37.5062093130608,126.811328358368,07호선
부천종합운동장역,수도권,37.5054110660251,126.797215785441,07호선
신중동역,수도권,37.5029417111885,126.776888189294,07호선
부천시청역,수도권,37.5046286887108,126.764058041258,07호선
삼산체육관역,수도권,37.5064914068797,126.741409731627,07호선
굴포천역,수도권,37.5070275598449,126.731341990324,07호선
부평구청역,수도권,37.507419068537,126.721432985599,07호선
암사역,수도권,37.550133857734,127.127537293281,08호선
공릉역,수도권,37.6255391693239,127.073019988267,07호선
춘의역,수도권,37.5036811739172,126.786996678208,07호선
천호역,수도권,37.5384968055586,127.123919374783,08호선
강동구청역,수도권,37.530193178362,127.120443701344,08호선
